row,trilogy_flag,group,width,height,sha256,pixel_sha256,ink_pixels,canvas_ink_fraction,blank,bbox,bbox_width,bbox_height,bbox_ratio,bbox_ink_fraction,bbox_width_fraction,bbox_height_fraction,bbox_shape_sha256,components_raw,components_ge4px,component_areas,holes_raw,holes_ge4px,hole_areas,padding_left_fraction,padding_right_fraction,padding_top_fraction,padding_bottom_fraction,stroke_width_px_min,stroke_width_px_p10,stroke_width_px_p25,stroke_width_px_median,stroke_width_px_p75,stroke_width_px_p90,stroke_width_px_max,stroke_width_median_canvas_fraction,skeleton_pixels,qualified_orientation_samples,horizontal_skeleton_fraction,vertical_skeleton_fraction,diagonal_skeleton_fraction,orientation_histogram_15deg,horizontal_mirror_iou,vertical_mirror_iou,rotation_180_iou,threshold_96_160_ink_change_fraction,threshold96_components,threshold160_components,threshold96_holes,threshold160_holes,component_gap_center_distance_min_px,counter_width_median_px,stroke_width_p90_p10_ratio
3,Y*,classic,128,128,4c718fafcc651936665d8fc886a8a582afcfa8de78b2c2035a113f337859b74c,7f3e68b0b0cc9b5fb3ff374fb959005ec24fbe61937bb7d365edc164bada84ca,2368,0.14453125,False,"[28,34,100,94]",72,60,1.2,0.5481481481481482,0.5625,0.46875,86f430ddf2b4b272b3311b3ffc2e64dce3aad75d8a5d4e8671c024a0363efd0b,1,1,[2368],2,2,"[61,61]",0.21875,0.21875,0.265625,0.265625,2.0,4.0,6.32456,12.64911,15.69894,18.0,18.11077,0.09882117688026186,182,132,0.22727272727272727,0.2878787878787879,0.015151515151515152,"[27,20,2,0,3,9,35,5,0,3,21,7]",1.0,0.7858220211161387,0.7858220211161387,0.04222972972972973,1,1,2,2,,2.8284271247461903,4.5
4,Y,classic,128,128,87f8375a64049287871518aaa73c35bd5040d5f7d2c9e2b07b7da2d5268accc4,a5b8a90fc04d6bcff7270e148b4aa81b2864a5e98336f23ef84da3b8c142ad71,1760,0.107421875,False,"[36,34,92,94]",56,60,0.9333333333333333,0.5238095238095238,0.4375,0.46875,3778d571d66f1c222721bc8c90c0cde9aeadbf509d18d55498f71fadae0f4a11,1,1,[1760],0,0,[],0.28125,0.28125,0.265625,0.265625,18.0,18.0,18.0,18.0,19.69772,22.80351,25.45584,0.140625,77,64,0.484375,0.515625,0.0,"[31,0,0,0,0,0,33,0,0,0,0,0]",1.0,1.0,1.0,0.020454545454545454,1,1,0,0,,,1.2668616666666666
5,Y,classic,128,128,764a95d1552a1d4790eccd4b0c28bbfdc7cddbedf21203035986176bee957e6f,ddc260ac1b82d81cbb1a38d91b7fa27ef95999f61c3fe1a10ad699b5cb1a53d3,4176,0.2548828125,False,"[36,18,92,110]",56,92,0.6086956521739131,0.8105590062111802,0.4375,0.71875,ba2529378a110c62867bb28e3cee7df6050abef197fb1e23d4ee2198f72165ed,1,1,[4176],2,2,"[364,347]",0.28125,0.28125,0.140625,0.140625,6.0,11.0378,14.56022,20.0,20.0,22.0,24.0,0.15625,244,236,0.16101694915254236,0.4152542372881356,0.1016949152542373,"[30,3,3,4,14,24,86,18,11,12,16,15]",0.892161304938831,0.9279778393351801,0.9112128146453089,0.019636015325670497,1,1,2,2,,8.0,1.9931508090380328
6,Y,classic,128,128,a926ccfab9b651cffaef8bbbcd51ccb6c45e985a674355349f9824fbbd50f717,8d722c2d3e7a8356bc3169b3bdc4516c138e52afb416ba565f9b910bce9aef96,2195,0.13397216796875,False,"[48,20,80,111]",32,91,0.3516483516483517,0.7537774725274725,0.25,0.7109375,e9f51989139a90fab8ba6c0405a16658c7fe735d03b724ba63fd2bbb07789ca8,1,1,[2195],0,0,[],0.375,0.375,0.15625,0.1328125,12.0,17.08801,24.0,24.0,24.0,24.0,24.0,0.1875,81,80,0.0875,0.7875,0.025,"[3,1,2,1,1,4,61,0,0,0,0,7]",0.507554945054945,0.8914261094355881,0.507554945054945,0.002733485193621868,1,1,0,0,,,1.404493560104424
7,Y,classic,128,128,055a384672a3f6b903cdbd11d806096c570786368bb701b88f56654b867e9c5c,6b48dd72452269f4dea34f168ffb41aa86807ff0a48a2f0f370aec25737beac7,4037,0.24639892578125,False,"[23,18,105,110]",82,92,0.8913043478260869,0.5351272534464475,0.640625,0.71875,dd22d44925b6f210c9f8427acf71f7fcc8dd836a295ce4719531b2746218946a,1,1,[4037],0,0,[],0.1796875,0.1796875,0.140625,0.140625,12.0,13.76656,14.0,16.12452,19.79899,22.0,24.08319,0.12597277731716483,207,200,0.37,0.03,0.29,"[64,12,40,16,20,4,4,6,3,7,7,17]",0.48747236551215917,0.4017361111111111,0.4852832965415747,0.04409214763438197,1,1,0,0,,,1.5980753361769389
8,Y,classic,128,128,073fa9b74fb41294a6ba51dd255eb7065552d35d7702f0505dab2e47c7efd8de,5313c191c2a600d67b1615440a6b25db7765dc36c69755985d6f5ebabb8cfa11,4552,0.27783203125,False,"[23,18,105,110]",82,92,0.8913043478260869,0.6033934252386002,0.640625,0.71875,bcab5fb9e5f4c63bb83b2f104fc4f6b916467bc4b31ac309d7bc395a4d19681f,1,1,[4552],0,0,[],0.1796875,0.1796875,0.140625,0.140625,10.0,14.0,14.0,15.81025,20.0,24.0,26.0,0.12351757559302073,250,237,0.4219409282700422,0.06329113924050633,0.16455696202531644,"[97,10,12,13,11,9,14,6,13,16,14,22]",0.5877223578653645,0.44599745870393903,0.3499406880189798,0.04152021089630931,1,1,0,0,,,1.7142857142857142
9,Y,classic,128,128,91c74b702a9577a245445c89252f292eb779b5e478b5838b39c1f1ddb1f825c2,c40abbb7487200a7c5ce207e1648e1a26ea167854d493ed87504a3c8e94d7cd8,4771,0.29119873046875,False,"[24,18,104,110]",80,92,0.8695652173913043,0.6482336956521739,0.625,0.71875,eff3c1e284771de70eaf47032de2fc4ee12ca60dd55dbce33a0eeaef22ebae94,1,1,[4771],1,1,[383],0.1875,0.1875,0.140625,0.140625,12.16553,14.0,14.0,15.6205,28.0,28.0,29.52965,0.12203515118604147,255,246,0.3943089430894309,0.23170731707317074,0.1910569105691057,"[95,4,1,2,1,7,53,11,10,38,18,6]",0.4702619414483821,0.5435134260757036,0.3492647058823529,0.04380632990987214,1,1,1,1,,8.0,2.0
10,Y,classic,128,128,72659a429785628dd0d9a7b79c2969c80da979105b40759d36c6aa0d051d80c6,28e87a98c7770d74aa47a5964c0bee7c245895379922695909f9dcc4e61307a7,4618,0.2818603515625,False,"[23,18,105,110]",82,92,0.8913043478260869,0.6121420996818664,0.640625,0.71875,582add7be3fe59c1e5a7380ba985130b9333ff30c3f08a10634595011351f1d7,1,1,[4618],0,0,[],0.1796875,0.1796875,0.140625,0.140625,13.41641,14.0,14.0,14.89588,22.80351,26.0,26.07681,0.11637408589956583,238,238,0.4831932773109244,0.10504201680672269,0.12184873949579832,"[102,7,7,6,10,11,24,14,10,14,12,21]",0.5596082404593042,0.45448818897637794,0.525602907168814,0.036379385015158076,1,1,0,0,,,1.8571428571428572
11,N,new-only,128,128,ea8b4fefd02d62720742cbe1ddfdbbaa3f8c94fe18c09a9f65308f7b5df143b9,fc0f279bdf880c85f014442d396179891cd677d95c2de57d9d4afdea45ee4c7f,4459,0.27215576171875,False,"[26,16,102,112]",76,96,0.7916666666666666,0.6111567982456141,0.59375,0.75,5233d663ae244ccf2cde074418b05d5c36df4f28c97372a7a20166e802a12bb9,1,1,[4459],1,1,[700],0.203125,0.203125,0.125,0.125,12.0,14.0,16.0,19.69772,22.0,24.0,29.73214,0.15388840315306412,229,224,0.24553571428571427,0.19196428571428573,0.16964285714285715,"[47,17,14,14,14,25,32,15,12,10,8,16]",0.6807387862796834,0.6005025125628141,0.5728395061728395,0.01838977349181431,1,1,1,1,,26.0,1.7142857142857142
12,Y,classic,128,128,d51c3a79a2715bd70c9ac62513e63866e63d893d85a9877b76bb0a42056e8001,10625f6eb2ac92dd4cc7d7e1594528e9a9155fde8b1eb23f808982a02e1ef2ee,3420,0.208740234375,False,"[24,18,104,110]",80,92,0.8695652173913043,0.46467391304347827,0.625,0.71875,cc4a588da4d233c62fdcee7a7544bc06952b5284410cd28a98fa56115a59925f,1,1,[3420],0,0,[],0.1875,0.1875,0.140625,0.140625,14.0,14.0,14.0,22.0,24.37208,26.0,30.0,0.171875,131,131,0.3816793893129771,0.05343511450381679,0.10687022900763359,"[46,2,2,3,2,1,19,28,23,0,0,5]",0.48116067561715026,0.306340718105424,0.1640571817562968,0.050292397660818715,1,1,0,0,,,1.8571428571428572
